state,electrode,acc_reference_pct,acc_both_pct,gain_pts,gain_ci_lo,gain_ci_hi,p_gain_maxstat,n_subjects,n_trials,n_bootstraps,n_perm
NREM,O1,54.56475156850837,58.46298826148555,3.89823669297713,1.7981557377049184,7.2950187209067,,36,61,200,0
NREM,Fp2,52.27909330095125,53.12812436753696,0.8490310665857106,-2.322467617891134,9.282976624165157,,36,61,200,0
NREM,C4,54.87124316939891,55.8194191459219,0.9481759765229708,-1.5230343047965904,3.011725865209475,,36,61,200,0
REM,F3,47.29237502529852,39.49086723335356,-7.80150779194495,-11.653637927545034,-1.041223942521757,,36,61,200,0
REM,O2,54.6258222019834,50.57503541793164,-4.050786784051812,-5.418247824327063,-3.080474600283347,,36,61,200,0
REM,O1,53.901424306820445,47.74047510625382,-6.160949200566688,-8.232392228293866,-4.563600485731627,,36,61,200,0
REM,F4,48.43037846589763,39.18992865816638,-9.24044980773122,-11.478129427241464,-4.17912618903056,,36,61,200,0
REM,Fz,49.41965189232949,45.29529700465495,-4.124354887674563,-8.151436956081765,4.091150576806326,,36,61,200,0
REM,Pz,52.53215442218174,45.115664845173015,-7.416489577008702,-9.353496255818664,-5.447024893746208,,36,61,200,0
REM,Cz,48.96335509006273,41.190257538959735,-7.773097551103015,-10.592870876340823,-2.614159583080333,,36,61,200,0
REM,P4,54.09149210686097,46.86940902651285,-7.222083080348106,-9.33641975308644,-5.456005869257249,,36,61,200,0
REM,P3,53.79689081157659,47.04324782432704,-6.753642987249542,-8.723373304998983,-4.721210281319576,,36,61,200,0
REM,CP1,51.3113742157458,45.52604482898198,-5.785329386763814,-8.945747318356617,0.135283849423197,,36,61,200,0
REM,CP2,51.09092289010327,45.6046599878567,-5.48626290224651,-8.966302367941708,0.4012345679012364,,36,61,200,0
REM,FC1,49.76571038251367,42.6896756729407,-7.076034709572957,-10.347158975915804,-1.7659633677393165,,36,61,200,0
REM,FC2,50.27311020036432,42.87598664238008,-7.397123557984215,-10.843705727585512,-1.0061222424610328,,36,61,200,0
REM,C3,50.2997621938879,44.427064359441424,-5.872697834446467,-9.118472981177916,1.299015887472171,,36,61,200,0
REM,C4,51.33289060918842,41.97893897996358,-9.353951629224852,-11.65332169601296,-5.4121761789111495,,36,61,200,0
REM,T3,47.528435539364494,42.241803278688494,-5.286632260675974,-11.089354381704108,4.162618903056066,,36,61,200,0
REM,T4,50.76887269783445,50.915730621331726,0.146857923497268,-4.380059704513239,9.676937866828576,,36,61,200,0
REM,Fp1,43.14062183768469,38.949466201173855,-4.191155636510827,-9.2239678202793,1.0568457802064315,,36,61,200,0
REM,Fp2,43.77474195506983,36.48778081360051,-7.286961141469342,-9.886030155838906,-3.116335256021046,,36,61,200,0
